Acesse o contrato na íntegra,CNPJ da empresa,CNPJ do Consórcio,Cliente,Compartilhado com outros projetos?,Consórcio,Data de assinatura,Empresa,Esfera do cliente,Fim da vigência,Líder do consórcio,N˚ do contrato,Objeto,Participação no consórcio,Serviço Contratado,Valor Estimado por empresa (R$),Valor Global (R$),grupo
,02.646.397/0001-19,,,,,,PRICEWATERHOUSECOOPERS SERVICOS PROFISSIONAIS LTDA.,,,Não,,,"34,00%",,"593.280,75",,
,05.487.514/0001-37,,,,,,PRICEWATERHOUSECOOPERS CORPORATE FINANCE & RECOVERY LTDA,,,Sim,,,"12,00%",,"209.393,20",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005840.zip,33.160.102/0001-23,54.941.312/0001-29,ESTADO DO MARANHAO,Não,CONSORCIO EY/ MANESCO/ ENCIBRA/ SANEARES-MARANHAO,22/03/2024,ENCIBRA S A ESTUDOS E PROJETOS DE ENGENHARIA,Estadual,21/09/2028,Não,0086/2024,"Execução dos SERVIÇOS TÉCNICOS, o que inclui a elaboração de PRODUTOS e a prestação de SERVIÇOS ESPECIALIZADOS, necessários para apoiar o BNDES na estruturação do PROJETO, observado ainda o detalhamento constante das ESPECIFICAÇÕES TÉCNICAS, da PROPOSTA COMERCIAL, da MATRIZ DE RISCOS e da TABELA DE PRODUTOS, PREÇOS E PRAZOS DE ENTREGA.","13,78%",Serviço Único,"788.805,46","5.724.277,66",MARANHÃO - SANEAMENTO
,66.865.965/0001-55,,,,,,"MANESCO, RAMIRES, PEREZ, AZEVEDO MARQUES - SOCIEDADE DE ADVOGADOS.",,,Não,,,"25,05%",,"1.433.931,55",,
,34.830.445/0001-10,,,,,,SANEARES - INFRAESTRUTURA E SANEAMENTO LTDA,,,Não,,,"21,50%",,"1.230.719,70",,
,59.527.788/0001-31,,,,,,ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA,,,Sim,,,"39,67%",,"2.270.820,95",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005881.zip,00.839.683/0001-75,55.769.361/0001-99,ESTADO DO PARANA,Não,CONSORCIO TYLIN OFICINA RHEIN ADDAX SETEC,10/04/2024,ADDAX ASSESSORIA ECONOMICA E FINANCEIRA LTDA,Estadual,09/04/2026,Não,0119/2024,"Execução dos SERVIÇOS TÉCNICOS, o que inclui a elaboração de PRODUTOS e a prestação de SERVIÇOS ESPECIALIZADOS, necessários para apoiar o BNDES na estruturação do PROJETO, observado ainda o detalhamento constante das ESPECIFICAÇÕES TÉCNICAS, da PROPOSTA COMERCIAL, da MATRIZ DE RISCOS e da TABELA DE PRODUTOS e SERVIÇOS.","10,00%",Serviço Único,"573.716,40","5.737.163,97",MOBILIDADE PARANÁ
,57.349.904/0001-44,,,,,,OFICINA - ENGENHEIROS CONSULTORES ASSOCIADOS LTDA.,,,Não,,,"21,80%",,"1.250.701,75",,
,16.721.366/0001-90,,,,,,"RHEIN SCHIRATO, MEIRELES SOCIEDADE DE ADVOGADOS",,,Não,,,"9,00%",,"516.344,76",,
,01.483.360/0001-54,,,,,,SETEC HIDROBRASILEIRA OBRAS E PROJETOS LTDA,,,Não,,,"11,00%",,"631.088,04",,
,65.518.540/0001-07,,,,,,TYLIN BRAZIL LTDA,,,Sim,,,"48,20%",,"2.765.313,03",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400003040.zip,09.628.460/0001-33,09.628.460/0001-33,ESTADO DE MATO GROSSO DO SUL,Não,KROLL BRASIL LTDA.,16/07/2018,KROLL BRASIL LTDA.,Estadual,15/07/2022,Não,0024/2018,Contratação de serviços relativos à estruturação e implementação da desestatização da Companhia de Gás do Estado de Mato Grosso do Sul – MSGás e de solução mais adequada para a continuidade da prestação do serviço de distribuição de gás natural.,"100,00%",Serviço A,"100.146,03","100.146,03",MS GÁS
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400003442.zip,02.520.543/0001-65,29.918.847/0001-31,,Não,CONSORCIO FATOR/LMDM/VGP/SC,16/07/2018,"CESCON, BARRIEU, FLESCH & BARRETO SOCIEDADE DE ADVOGADOS",,15/07/2022,Não,0119/2018,"Contratação de serviços relativos à estruturação e implementação da desestatização da Companhia de Gás do Estado de Mato Grosso do Sul – MSGás, e de solução mais adequada para a continuidade da prestação do serviço de distribuição de gás natural.","15,00%",Serviço B,"544.604,61","3.630.697,43",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400003442.zip,11.985.753/0001-10,29.918.847/0001-31,,Não,CONSORCIO FATOR/LMDM/VGP/SC,16/07/2018,L.M.D.M. - CONSULTORIA EMPRESARIAL LTDA,,15/07/2022,Não,0119/2018,"Contratação de serviços relativos à estruturação e implementação da desestatização da Companhia de Gás do Estado de Mato Grosso do Sul – MSGás, e de solução mais adequada para a continuidade da prestação do serviço de distribuição de gás natural.","20,00%",Serviço B,"726.139,49","3.630.697,43",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400003442.zip,04.000.948/0001-06,29.918.847/0001-31,,Não,CONSORCIO FATOR/LMDM/VGP/SC,16/07/2018,"VERNALHA, PEREIRA ADVOGADOS",,15/07/2022,Não,0119/2018,"Contratação de serviços relativos à estruturação e implementação da desestatização da Companhia de Gás do Estado de Mato Grosso do Sul – MSGás, e de solução mais adequada para a continuidade da prestação do serviço de distribuição de gás natural.","15,00%",Serviço B,"544.604,61","3.630.697,43",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400003442.zip,33.644.196/0001-06,29.918.847/0001-31,,Não,CONSORCIO FATOR/LMDM/VGP/SC,16/07/2018,BANCO FATOR S/A,,15/07/2022,Sim,0119/2018,"Contratação de serviços relativos à estruturação e implementação da desestatização da Companhia de Gás do Estado de Mato Grosso do Sul – MSGás, e de solução mais adequada para a continuidade da prestação do serviço de distribuição de gás natural.","50,00%",Serviço B,"1.815.348,72","3.630.697,43",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005933.zip,06.229.883/0001-92,55.683.425/0001-34,ESTADO DE MATO GROSSO DO SUL,Não,CONSORCIO GAS FATOR QUANTUM & TAUIL,24/05/2024,QUANTUM DO BRASIL LTDA,Estadual,23/05/2027,Não,0170/2024,"Execução dos SERVIÇOS TÉCNICOS, o que inclui a elaboração de PRODUTOS e a prestação de SERVIÇOS CONTÍNUOS, necessários para apoiar o BNDES na estruturação do PROJETO, observado ainda o detalhamento constante das ESPECIFICAÇÕES TÉCNICAS, da PROPOSTA COMERCIAL, da MATRIZ DE RISCOS e da TABELA DE PRODUTOS e SERVIÇOS.","49,57%",Serviço Único,"1.182.080,46","2.384.669,08",MS GÁS - RENOVAÇÃO
,68.809.318/0001-51,,,,,,TAUIL E CHEQUER ADVOGADOS,,,Não,,,"28,60%",,"682.015,36",,
,33.644.196/0001-06,,,,,,BANCO FATOR S/A,,,Sim,,,"21,83%",,"520.573,26",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005173.zip,14.171.693/0001-90,48.670.676/0001-19,COMANDO DA MARINHA,Não,"CONSORCIO MARINHA, CULTURA E PATRIMONIO",27/09/2022,MACIEL ROCHA SOCIEDADE DE ADVOGADOS,Federal,08/02/2024,Não,0235/2022,"Prestação de serviços necessários a elaboração de estudos técnicos e execução de serviços especializados com vistas à concessão do futuro Museu Marítimo do Brasil, no âmbito do Programa de Parcerias de Investimentos (PPI), conforme especificações constantes do TERMO DE ESPECIFICAÇÕES TÉCNICAS (Projeto Básico) e da proposta apresentada pelo CONTRATADO.","23,10%",Serviço Único,"440.070,07","1.905.065,25",MUSEU MARÍTIMO DO BRASIL
,13.581.734/0001-53,,,,,,MARE NOSTRUM INTELIGENCIA CORPORATIVA LTDA,,,Não,,,"7,61%",,"144.975,47",,
,28.498.811/0001-83,,,,,,VALLYA ADVISORS ASSESSORIA FINANCEIRA LTDA,,,Não,,,"18,37%",,"349.960,49",,
,15.369.394/0001-27,,,,,,NATUREZA URBANA PLANEJAMENTO INTEGRADO LTDA,,,Sim,,,"50,92%",,"970.059,21",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400003503.zip,18.578.135/0001-02,31.810.693/0001-01,MUNICIPIO DE NATAL,Não,CONSORCIO HOUER / RSI / MRP ADV / VIANA GUIMARAES,01/11/2018,HOUER ENGENHARIA LTDA,Municipal,10/08/2020,Não,0422/2018,"Contratação de serviços técnicos necessários para a estruturação de projeto(s) de Parceria Público-Privada (PPP) relativo(s) à modernização, eficientização, expansão, operação e manutenção da infraestrutura de rede(s) municipal(is) de ILUMINAÇÃO PÚBLICA que tenha(m) até 200.000 (duzentos mil) pontos de luz.","35,00%",Serviço Único,"1.126.574,18","3.218.783,38",NATAL IP
,00.068.223/0001-90,,,,,,MIRANDA RODRIGUEZ E PALAVERI ADVOGADOS,,,Não,,,"25,00%",,"804.695,85",,
,18.865.283/0001-08,,,,,,VIANA CASTRO ADVOGADOS,,,Não,,,"10,00%",,"321.878,34",,
,22.111.570/0001-91,,,,,,HOUER CONSULTORIA E CONCESSOES LTDA,,,Sim,,,"30,00%",,"965.635,01",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004322.zip,19.493.096/0001-03,19.493.096/0001-03,MINISTERIO DE MINAS E ENERGIA,Não,BERKAN ASSESSORIA E CONSULTORIA EMPRESARIAL LTDA.,10/08/2020,BERKAN ASSESSORIA E CONSULTORIA EMPRESARIAL LTDA.,Federal,09/08/2023,Não,0174/2020,"Contratação de serviços técnicos especializados necessários à desestatização da NUCLEBRÁS EQUIPAMENTOS PESADOS S.A. - NUCLEP, denominado SERVIÇO A.","100,00%",Serviço A,"119.990,00","119.990,00",NUCLEP
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004365.zip,05.215.691/0001-64,38.249.093/0001-65,,Não,CONSORCIO CRH NUCLEP,10/08/2020,IRKO HIRASHIMA ASSOCIADOS LTDA,,09/08/2023,Não,0175/2020,"Contratação de serviços técnicos especializados necessários à desestatização da NUCLEBRÁS EQUIPAMENTOS PESADOS S.A. - NUCLEP, denominado SERVIÇO B.","12,12%",Serviço B,"335.146,90","2.765.238,42",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004365.zip,71.258.032/0001-30,38.249.093/0001-65,,Não,CONSORCIO CRH NUCLEP,10/08/2020,"ROLIM, VIOTTI & LEITE CAMPOS ADVOGADOS",,09/08/2023,Não,0175/2020,"Contratação de serviços técnicos especializados necessários à desestatização da NUCLEBRÁS EQUIPAMENTOS PESADOS S.A. - NUCLEP, denominado SERVIÇO B.","27,20%",Serviço B,"752.144,85","2.765.238,42",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004365.zip,05.097.487/0001-96,38.249.093/0001-65,,Não,CONSORCIO CRH NUCLEP,10/08/2020,CERES INTELIGENCIA FINANCEIRA LTDA,,09/08/2023,Sim,0175/2020,"Contratação de serviços técnicos especializados necessários à desestatização da NUCLEBRÁS EQUIPAMENTOS PESADOS S.A. - NUCLEP, denominado SERVIÇO B.","60,68%",Serviço B,"1.677.946,67","2.765.238,42",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005543.zip,33.160.102/0001-23,51.662.733/0001-22,ESTADO DO PARA,Sim,CONSORCIO EY/MANESCO/ENCIBRA/SANEARES,14/07/2023,ENCIBRA S A ESTUDOS E PROJETOS DE ENGENHARIA,Estadual,13/07/2026,Não,0186/2023,"Prestação dos serviços técnico-consultivos necessários para apoiar a estruturação de projeto de desestatização, mediante participação da iniciativa privada, tendo por escopo a prestação de serviços públicos de abastecimento de água e de esgotamento sanitário em todos os municípios localizados no Estado do Pará, a ser realizada pelo BNDES, conforme especificações constantes do TERMO DE ESPECIFICAÇÕES TÉCNICAS e da proposta apresentada pelo CONTRATADO na Solicitação de Proposta (RFP) nº 003/2023.","25,93%",Serviço Único,"1.849.968,95","7.134.473,39",PARÁ - SANEAMENTO (BLOCO C)
,66.865.965/0001-55,,,,,,"MANESCO, RAMIRES, PEREZ, AZEVEDO MARQUES - SOCIEDADE DE ADVOGADOS.",,,Não,,,"24,96%",,"1.780.764,56",,
,34.830.445/0001-10,,,,,,SANEARES - INFRAESTRUTURA E SANEAMENTO LTDA,,,Não,,,"17,59%",,"1.254.953,87",,
,59.527.788/0001-31,,,,,,ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA,,,Sim,,,"31,52%",,"2.248.786,01",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005543.zip,33.160.102/0001-23,51.662.733/0001-22,ESTADO DO PARA,Sim,CONSORCIO EY/MANESCO/ENCIBRA/SANEARES,14/07/2023,ENCIBRA S A ESTUDOS E PROJETOS DE ENGENHARIA,Estadual,13/07/2026,Não,0186/2023,"Prestação dos serviços técnico-consultivos necessários para apoiar a estruturação de projeto de desestatização, mediante participação da iniciativa privada, tendo por escopo a prestação de serviços públicos de abastecimento de água e de esgotamento sanitário em todos os municípios localizados no Estado do Pará, a ser realizada pelo BNDES, conforme especificações constantes do TERMO DE ESPECIFICAÇÕES TÉCNICAS e da proposta apresentada pelo CONTRATADO na Solicitação de Proposta (RFP) nº 003/2023.","25,93%",Serviço Único,"1.849.968,95","7.134.473,39","PARÁ - SANEAMENTO (BLOCOS A, B, D)"
,66.865.965/0001-55,,,,,,"MANESCO, RAMIRES, PEREZ, AZEVEDO MARQUES - SOCIEDADE DE ADVOGADOS.",,,Não,,,"24,96%",,"1.780.764,56",,
,34.830.445/0001-10,,,,,,SANEARES - INFRAESTRUTURA E SANEAMENTO LTDA,,,Não,,,"17,59%",,"1.254.953,87",,
,59.527.788/0001-31,,,,,,ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA,,,Sim,,,"31,52%",,"2.248.786,01",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004746.zip,33.160.102/0001-23,44.411.624/0001-77,ESTADO DA PARAIBA,Não,CONSORCIO EY/FELSBERG/ENCIBRA/SANEARES,27/09/2021,ENCIBRA S A ESTUDOS E PROJETOS DE ENGENHARIA,Estadual,26/03/2026,Não,0197/2021,"Contratação de estudos técnicos de apoio, avaliação, estruturação e implementação para projeto de estruturação de parceria privada (“Estudos”) para a prestação dos serviços públicos de abastecimento de água e esgotamento sanitário, visando a universalização, bem como serviços de gestão operacional (“Serviços de Saneamento”), em até 93 municípios do Estado da Paraíba.","1,99%",Serviço Único,"160.175,18","8.049.004,27",PARAÍBA - SANEAMENTO
,34.830.445/0001-10,,,,,,SANEARES - INFRAESTRUTURA E SANEAMENTO LTDA,,,Não,,,"39,81%",,"3.204.308,60",,
,59.527.788/0001-31,,,,,,ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA,,,Sim,,,"33,46%",,"2.693.196,83",,
,52.566.122/0001-43,,,,,,FELSBERG E PEDRETTI ADVOGADOS E CONSULTORES LEGAIS,,,Sim,,,"24,73%",,"1.990.518,76",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005964.zip,40.050.737/0001-33,55.909.440/0001-58,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,Sim,CONSORCIO PARQUES BRASILEIROS,17/06/2024,PARCERIAS BRL CONSULTORES ASSOCIADOS,Federal,16/06/2029,Não,0198/2024,"Execução dos SERVIÇOS TÉCNICOS, o que inclui a elaboração de PRODUTOS e a prestação de SERVIÇOS ESPECIALIZADOS, necessários para apoiar o BNDES na estruturação de projetos de concessão e demais arranjos de parcerias entre os setores público e privado voltadas para os serviços de uso público e visitação em parques, observado ainda o detalhamento constante das ESPECIFICAÇÕES TÉCNICAS, da PROPOSTA COMERCIAL, da MATRIZ DE RISCOS e da TABELA DE PRODUTOS e SERVIÇOS, respeitado o limite de até 15 (quinze) ativos, conforme definição e detalhamento constantes das ESPECIFICAÇÕES TÉCNICAS.","17,00%",Serviço Único,"2.621.574,74","15.421.027,90",PARNA IGUAÇU PASSEIO TERRESTRE/EMBARCADO
,34.858.094/0001-56,,,,,,SPALDING E SERTORI ADVOGADOS,,,Não,,,"17,00%",,"2.621.574,74",,
,03.552.499/0001-38,,,,,,URBAN SYSTEMS BRASIL ESTUDOS DE MERCADO LTDA,,,Não,,,"17,00%",,"2.621.574,74",,
,15.369.394/0001-27,,,,,,NATUREZA URBANA PLANEJAMENTO INTEGRADO LTDA,,,Sim,,,"49,00%",,"7.556.303,67",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005964.zip,40.050.737/0001-33,55.909.440/0001-58,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,Sim,CONSORCIO PARQUES BRASILEIROS,17/06/2024,PARCERIAS BRL CONSULTORES ASSOCIADOS,Federal,16/06/2029,Não,0198/2024,"Execução dos SERVIÇOS TÉCNICOS, o que inclui a elaboração de PRODUTOS e a prestação de SERVIÇOS ESPECIALIZADOS, necessários para apoiar o BNDES na estruturação de projetos de concessão e demais arranjos de parcerias entre os setores público e privado voltadas para os serviços de uso público e visitação em parques, observado ainda o detalhamento constante das ESPECIFICAÇÕES TÉCNICAS, da PROPOSTA COMERCIAL, da MATRIZ DE RISCOS e da TABELA DE PRODUTOS e SERVIÇOS, respeitado o limite de até 15 (quinze) ativos, conforme definição e detalhamento constantes das ESPECIFICAÇÕES TÉCNICAS.","17,00%",Serviço Único,"2.621.574,74","15.421.027,90",PARNA MARINHO FERNANDO DE NORONHA
,34.858.094/0001-56,,,,,,SPALDING E SERTORI ADVOGADOS,,,Não,,,"17,00%",,"2.621.574,74",,
,03.552.499/0001-38,,,,,,URBAN SYSTEMS BRASIL ESTUDOS DE MERCADO LTDA,,,Não,,,"17,00%",,"2.621.574,74",,
,15.369.394/0001-27,,,,,,NATUREZA URBANA PLANEJAMENTO INTEGRADO LTDA,,,Sim,,,"49,00%",,"7.556.303,67",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004895.zip,26.288.600/0001-90,45.567.947/0001-17,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,Sim,CONSORCIO UIRAPURU PARQUES BRASILEIROS,28/01/2022,PLANTAR IDEIAS LTDA,Federal,27/07/2025,Não,0304/2021,Estudos técnicos de apoio à estruturação de concessão para operação e manutenção de uma carteira de até 9 (nove) Projetos de Unidades de Conservação de Titularidade da União,"29,00%",Serviço Único,"724.028,38","2.496.649,58",PARQUE E FLORESTA NACIONAL DE BRASÍLIA (2)
,19.433.220/0001-37,,,,,,"QUEIROZ, MALUF SOCIEDADE DE ADVOGADOS",,,Não,,,"18,20%",,"454.390,22",,
,28.498.811/0001-83,,,,,,VALLYA ADVISORS ASSESSORIA FINANCEIRA LTDA,,,Não,,,"38,00%",,"948.726,84",,
,28.117.411/0001-80,,,,,,SPIN SOLUCOES PUBLICAS INTELIGENTES CONSULTORIA LTDA.,,,Sim,,,"14,80%",,"369.504,14",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005964.zip,40.050.737/0001-33,55.909.440/0001-58,,Sim,CONSORCIO PARQUES BRASILEIROS,17/06/2024,PARCERIAS BRL CONSULTORES ASSOCIADOS,,16/06/2029,Não,0198/2024,"Execução dos SERVIÇOS TÉCNICOS, o que inclui a elaboração de PRODUTOS e a prestação de SERVIÇOS ESPECIALIZADOS, necessários para apoiar o BNDES na estruturação de projetos de concessão e demais arranjos de parcerias entre os setores público e privado voltadas para os serviços de uso público e visitação em parques, observado ainda o detalhamento constante das ESPECIFICAÇÕES TÉCNICAS, da PROPOSTA COMERCIAL, da MATRIZ DE RISCOS e da TABELA DE PRODUTOS e SERVIÇOS, respeitado o limite de até 15 (quinze) ativos, conforme definição e detalhamento constantes das ESPECIFICAÇÕES TÉCNICAS.","17,00%",Serviço Único,"2.621.574,74","15.421.027,90",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005964.zip,34.858.094/0001-56,55.909.440/0001-58,,Sim,CONSORCIO PARQUES BRASILEIROS,17/06/2024,SPALDING E SERTORI ADVOGADOS,,16/06/2029,Não,0198/2024,"Execução dos SERVIÇOS TÉCNICOS, o que inclui a elaboração de PRODUTOS e a prestação de SERVIÇOS ESPECIALIZADOS, necessários para apoiar o BNDES na estruturação de projetos de concessão e demais arranjos de parcerias entre os setores público e privado voltadas para os serviços de uso público e visitação em parques, observado ainda o detalhamento constante das ESPECIFICAÇÕES TÉCNICAS, da PROPOSTA COMERCIAL, da MATRIZ DE RISCOS e da TABELA DE PRODUTOS e SERVIÇOS, respeitado o limite de até 15 (quinze) ativos, conforme definição e detalhamento constantes das ESPECIFICAÇÕES TÉCNICAS.","17,00%",Serviço Único,"2.621.574,74","15.421.027,90",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005964.zip,03.552.499/0001-38,55.909.440/0001-58,,Sim,CONSORCIO PARQUES BRASILEIROS,17/06/2024,URBAN SYSTEMS BRASIL ESTUDOS DE MERCADO LTDA,,16/06/2029,Não,0198/2024,"Execução dos SERVIÇOS TÉCNICOS, o que inclui a elaboração de PRODUTOS e a prestação de SERVIÇOS ESPECIALIZADOS, necessários para apoiar o BNDES na estruturação de projetos de concessão e demais arranjos de parcerias entre os setores público e privado voltadas para os serviços de uso público e visitação em parques, observado ainda o detalhamento constante das ESPECIFICAÇÕES TÉCNICAS, da PROPOSTA COMERCIAL, da MATRIZ DE RISCOS e da TABELA DE PRODUTOS e SERVIÇOS, respeitado o limite de até 15 (quinze) ativos, conforme definição e detalhamento constantes das ESPECIFICAÇÕES TÉCNICAS.","17,00%",Serviço Único,"2.621.574,74","15.421.027,90",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005964.zip,15.369.394/0001-27,55.909.440/0001-58,,Sim,CONSORCIO PARQUES BRASILEIROS,17/06/2024,NATUREZA URBANA PLANEJAMENTO INTEGRADO LTDA,,16/06/2029,Sim,0198/2024,"Execução dos SERVIÇOS TÉCNICOS, o que inclui a elaboração de PRODUTOS e a prestação de SERVIÇOS ESPECIALIZADOS, necessários para apoiar o BNDES na estruturação de projetos de concessão e demais arranjos de parcerias entre os setores público e privado voltadas para os serviços de uso público e visitação em parques, observado ainda o detalhamento constante das ESPECIFICAÇÕES TÉCNICAS, da PROPOSTA COMERCIAL, da MATRIZ DE RISCOS e da TABELA DE PRODUTOS e SERVIÇOS, respeitado o limite de até 15 (quinze) ativos, conforme definição e detalhamento constantes das ESPECIFICAÇÕES TÉCNICAS.","49,00%",Serviço Único,"7.556.303,67","15.421.027,90",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004895.zip,26.288.600/0001-90,45.567.947/0001-17,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,Sim,CONSORCIO UIRAPURU PARQUES BRASILEIROS,28/01/2022,PLANTAR IDEIAS LTDA,Federal,27/07/2025,Não,0304/2021,Estudos técnicos de apoio à estruturação de concessão para operação e manutenção de uma carteira de até 9 (nove) Projetos de Unidades de Conservação de Titularidade da União,"29,00%",Serviço Único,"724.028,38","2.496.649,58",PARQUE NACIONAL DA SERRA DOS ÓRGÃOS
,19.433.220/0001-37,,,,,,"QUEIROZ, MALUF SOCIEDADE DE ADVOGADOS",,,Não,,,"18,20%",,"454.390,22",,
,28.498.811/0001-83,,,,,,VALLYA ADVISORS ASSESSORIA FINANCEIRA LTDA,,,Não,,,"38,00%",,"948.726,84",,
,28.117.411/0001-80,,,,,,SPIN SOLUCOES PUBLICAS INTELIGENTES CONSULTORIA LTDA.,,,Sim,,,"14,80%",,"369.504,14",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004368.zip,65.174.088/0001-03,38.330.382/0001-94,INSTITUTO CHICO MENDES DE CONSERVACAO DA BIODIVERSIDADE,Não,CONSORCIO IGUACU,12/08/2020,AZEVEDO SETTE ADVOGADOS,Federal,11/08/2022,Não,0154/2020,"SERVIÇOS TÉCNICOS necessários para a estruturação de PROJETO visando à concessão da prestação dos serviços públicos de apoio à visitação, revitalização, modernização, operação e manutenção dos serviços turísticos no PARQUE NACIONAL DO IGUAÇU, prevendo o custeio de ações de apoio à conservação, proteção e gestão do parque, buscando promover a ampliação e inovação no escopo de serviços e atrativos disponibilizados ao visitante.","20,00%",Serviço Único,"278.506,16","1.392.530,82",PARQUE NACIONAL DO IGUAÇU
,15.369.394/0001-27,,,,,,NATUREZA URBANA PLANEJAMENTO INTEGRADO LTDA,,,Não,,,"50,60%",,"704.620,59",,
,14.629.882/0001-63,,,,,,BF CAPITAL ASSESSORIA EM OPERACOES FINANCEIRAS LTDA.,,,Sim,,,"29,40%",,"409.404,06",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004563.zip,00.881.736/0001-16,41.054.691/0001-93,ESTADO DO AMAZONAS,Sim,CONSORCIO PARQUES DO NORTE E CENTRO-OESTE,08/01/2021,BCMF ARQUITETURA E ENGENHARIA LTDA,Estadual,07/07/2022,Não,0005/2021,"Prestação de serviços necessários à estruturação de concessões de serviços públicos ou de uso de bem relativos aos Parques de Sumaúma e Rio Negro Setor Norte (AM), Serra de Caldas Novas, Altamiro de Moura Pacheco e Terra Ronca (GO), Várzeas do Rio Ivinhema, Nascentes do Rio Taquari, Prosa, Nações Indígenas e Monumento Natural Gruta do Lago Azul (MS) nos termos da RFP nº 06/2020 – AGOV/BNDES abrangendo o apoio à visitação, revitalização, modernização, operação e manutenção dos serviços turísticos nos mesmos, prevendo o custeio de ações de apoio à conservação, proteção e gestão dos referidos parques e buscando promover a ampliação e inovação no escopo de serviços e atrativos disponibilizados ao visitante, possibilitando assim a melhoria contínua na qualidade dos serviços oferecidos.","37,00%",Serviço Único,"1.153.379,62","3.117.242,21",PARQUES AM
,66.865.965/0001-55,,,,,,"MANESCO, RAMIRES, PEREZ, AZEVEDO MARQUES - SOCIEDADE DE ADVOGADOS.",,,Não,,,"26,00%",,"810.482,97",,
,22.524.415/0001-05,,,,,,SYSTEMICA INTELIGENCIA EM SUSTENTABILIDADE SA,,,Não,,,"19,00%",,"592.276,02",,
,10.417.179/0001-30,,,,,,PLANTUC - CONSULTORIA SOCIOAMBIENTAL LTDA,,,Sim,,,"18,00%",,"561.103,60",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004603.zip,26.288.600/0001-90,41.738.065/0001-16,ESTADO DA BAHIA,Sim,CONSORCIO PITIGUARI - PARQUES BRASILEIROS,07/01/2021,PLANTAR IDEIAS LTDA,Estadual,06/07/2023,Não,0003/2021,"Serviços necessários à estruturação de concessões de serviços públicos ou de uso de bem público relativos aos Parques Estaduais das Sete Passagens, da Serra do Conduru, Parque Metropolitano de Pituaçu, Parque Zoobotânico Getúlio Vargas e Parque Municipal de São Bartolomeu (BA), Parques Estaduais de Dois Irmãos e Mata da Pimenteira (PE), do Jalapão e do Cantão (TO) nos termos da RFP nº 08/2020 – AGOV/BNDES, abrangendo o apoio à visitação, revitalização, modernização, operação e manutenção dos serviços turísticos nos mesmos, prevendo o custeio de ações de apoio à conservação, proteção e gestão dos referidos parques e buscando promover a ampliação e inovação no escopo de serviços e atrativos disponibilizados ao visitante, possibilitando assim a melhoria contínua na qualidade dos serviços oferecidos.","33,82%",Serviço Único,"1.211.290,03","3.581.579,03",PARQUES BA - 7 PASSAGENS
,19.433.220/0001-37,,,,,,"QUEIROZ, MALUF SOCIEDADE DE ADVOGADOS",,,Não,,,"19,64%",,"703.422,12",,
,28.498.811/0001-83,,,,,,VALLYA ADVISORS ASSESSORIA FINANCEIRA LTDA,,,Não,,,"26,18%",,"937.657,39",,
,28.117.411/0001-80,,,,,,SPIN SOLUCOES PUBLICAS INTELIGENTES CONSULTORIA LTDA.,,,Sim,,,"20,36%",,"729.209,49",,
