Acesse o contrato na íntegra,CNPJ da empresa,CNPJ do Consórcio,Cliente,Compartilhado com outros projetos?,Consórcio,Data de assinatura,Empresa,Esfera do cliente,Fim da vigência,Líder do consórcio,N˚ do contrato,Objeto,Participação no consórcio,Serviço Contratado,Valor Estimado por empresa (R$),Valor Global (R$),grupo
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004384.zip,10.538.980/0001-34,41.552.015/0001-40,ESTADO DO RIO DE JANEIRO,Não,CONSORCIO FDT - MU,28/10/2020,"CORDEIRO, LIMA SOCIEDADE DE ADVOGADOS",Estadual,27/10/2023,Não,0222/2020,"Contratação de serviços técnicos necessários para a estruturação de projeto para implementação e gestão de um novo sistema de bilhetagem eletrônica para o transporte público intermunicipal da Região Metropolitana do Rio de Janeiro – RMRJ e suas interfaces com o transporte público municipal, conforme especificações constantes do Termo de Referência (Anexo I do Edital do Pregão Eletrônico nº 24/2020 - BNDES) e da proposta apresentada pelo CONTRATADO.","63,10%",Serviço Único,"794.499,94","1.259.112,42",BILHETAGEM RJ
,43.942.358/0001-46,,,,,,FUNDACAO INSTITUTO DE PESQUISAS ECONOMICAS FIPE,,,Não,,,"21,60%",,"271.968,28",,
,87.878.476/0001-08,,,,,,FUNDACAO UNIVERSIDADE EMPRESA DE TECNOLOGIA E CIENCIAS,,,Sim,,,"15,30%",,"192.644,20",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004456.zip,19.453.651/0001-65,39.345.591/0001-74,MUNICIPIO DE CANOAS,Sim,CONSORCIO ACCENTURE E M&P SOCIEDADE DE ADVOGADOS,04/06/2020,MOYSES & PIRES SOCIEDADE DE ADVOGADOS,Municipal,03/06/2025,Não,0126/2020,"Contratação de serviços técnicos necessários para a estruturação de projeto(s) de Parceria Público-Privada (PPP) relativo(s) à modernização, eficientização, expansão, operação e manutenção da infraestrutura de rede(s) municipal(is) de ILUMINAÇÃO PÚBLICA que tenha(m) até 400.000 (quatrocentos mil) pontos de luz.","25,00%",Serviço Único,"2.153.197,02","8.612.788,06",CANOAS IP
,96.534.094/0001-58,,,,,,ACCENTURE DO BRASIL LTDA,,,Sim,,,"75,00%",,"6.459.591,05",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400003491.zip,21.152.960/0001-47,31.749.772/0001-54,MUNICIPIO DE CARUARU,Sim,CONSORCIO LUZ BRASIL,05/11/2018,TELLUS MATER BRASIL LTDA,Municipal,04/01/2023,Não,0420/2018,"Contratação de serviços técnicos necessários para a estruturação de projeto(s) de Parceria Público-Privada (PPP) relativo(s) à modernização, eficientização, expansão, operação e manutenção da infraestrutura de rede(s) municipal(is) de ILUMINAÇÃO PÚBLICA que tenha(m) até 200.000 (duzentos mil) pontos de luz.","27,00%",Serviço A,"959.116,57","3.552.283,59",CARUARU IP
,08.646.359/0001-42,,,,,,THOREOS CONSULTORIA LTDA.,,,Não,,,"53,00%",,"1.882.710,30",,
,68.809.318/0001-51,,,,,,TAUIL E CHEQUER ADVOGADOS,,,Sim,,,"20,00%",,"710.456,72",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004144.zip,13.711.795/0001-98,13.711.795/0001-98,MINISTERIO DA FAZENDA,Não,INVESTOR CONSULTING PARTNERS CONSULTORIA LTDA.,24/01/2020,INVESTOR CONSULTING PARTNERS CONSULTORIA LTDA.,Federal,21/01/2023,Não,0029/2020,"Contratação de serviços relativos à estruturação e implementação da desestatização da CASA DA MOEDA DO BRASIL (CMB), denominado SERVIÇO A, conforme especificações constantes do Termo de Referência e da proposta apresentada pelo CONTRATADO.","100,00%",Serviço A,"68.240,00","68.240,00",CASA DA MOEDA
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004395.zip,08.580.575/0001-32,38.003.065/0001-63,,Não,"TAUIL E CHEQUER, G5 E BAKER TILLY CONSORCIO",24/01/2020,BAKER TILLY BRASIL GESTAO EMPRESARIAL LTDA,,23/01/2023,Não,0030/2020,"Contratação de serviços relativos à estruturação e implementação da desestatização da CASA DA MOEDA DO BRASIL (CMB), denominado SERVIÇO B, conforme especificações constantes do Termo de Referência e da proposta apresentada pelo CONTRATADO.","33,00%",Serviço B,"891.000,00","2.700.000,00",
