codigo,objeto,nome,data,agencia,referencia,pais,valor
134566,Provision of an online Greenhouse Gas (GHG) calculation tool in compliance with the GHG Protocol,Impacti LLC,2-Jan-22,UNFPA,UNFPA/USA/RFQ/22/001,Multiple destinations,
128883,"Develop UNFPA’s humanitarian leadership training program, and deliver training workshops, both through online and in-person formats.",Deakin University-Centre for Humanitarian Leadership,10-Dec-21,UNFPA,RFQ Nº UNFPA/USA/RFQ/21/092,Multiple destinations,
128504,Virtual Event Management & Coordination of the 2021 Policy Dialogue Forum (PDF) for the International Task Force on Teachers for Education 2030,Social27 Inc.,9-Nov-21,UNESCO,RFP/ED/PLS/TED/21/34,Multiple destinations,106650
128505,Virtual Event Management & Coordination of the 2021 Policy Dialogue Forum (PDF) for the International Task Force on Teachers for Education 2030,Social27 Inc.,9-Nov-21,UNESCO,RFP/ED/PLS/TED/21/34,Multiple destinations,106650
128886,Campagne de communication et Missions d’accompagnement des équipes de Communication,ROOFTOP VIDEO PRODUCTIONS CC,14-Oct-21,UNESCO,UNESCO/DPI/RFP/03/2021,Multiple destinations,347200
124456,"CONTRATAÇÃO DE ESTUDOS GEOTÉCNICOS, LEVANTAMENTO PLANIALTIMÉTRICO E CADASTRAL COM A ELABORAÇÃO DE PROJETOS EXECUTIVOS REFERENCIAIS DE ARQUITETURA E DE ENGENHARIA PARA UNIDADE SOCIOEDUCATIVA DE INTERNAÇÃO MASCULINA NO MUNICÍPIO DE DUQUE DE CAXIAS.",Archi5 Arquitetos Associados Ltda.,27-Aug-21,UNOPS,BPC/EXP/RFP/2021/04,Brazil,230377
129354,"DEADLINE EXTENDED - Review of the second cycle (2014-2020) of the “UNESCO/Emir Jaber al Ahmad al Jaber al Sabah Prize for Digital Empowerment of Persons with Disabilities""",INSPIRING VISION FOR CONSULTING,9-Aug-21,UNESCO,RFQ/CI/UAI/01/2021,Multiple destinations,7980
122421,Development of a Digital Platform to Connect Learners with Educators and Educational Resources - “GLH Connect”,Phoenix Design Aid A/S,12-Jul-21,UNESCO,RFP/ED/PLS/EDP/21/08,Multiple destinations,86582.33
128994,Video editing and production for online training course on AI and the Rule of Law for Judicial Operators,Beyond Borders Media,9-Jul-21,UNESCO,CI/DIT/21/44,Multiple destinations,69620
128996,Video editing and production for online training course on AI and the Rule of Law for Judicial Operators,Beyond Borders Media,9-Jul-21,UNESCO,CI/DIT/21/44,Multiple destinations,69620
122137,RFP-2021-009 Proctoring system development for testing remote control in the field of public service,Berekeli TobyLLP (Consortium Agreement with Bai Tabys LLP),26-Jun-21,UNDP,RFP-2021-009,Multiple destinations,99176
129345,DEADLINE EXTENDED - Online training course on the role of access to information policies and practices,Centre for Law & Democracy,24-Jun-21,UNESCO,RFP/CI/UAI/01/2021,Multiple destinations,33534
122272,Provision of due diligence tools and/or services for the IAEA,Bisnode D&B Austria GmbH,10-Jun-21,IAEA,RFP - Request for Proposal No 417324-RL,Multiple destinations,
119316,"Protection from Sexual Exploitation and Abuse and Sexual Harassment (PSEAH) Survey on Knowledge, Capacity and Perceptions of UNFPA personnel",Agenda Consulting Limited,26-May-21,UNFPA,UNFPA/USA/PSC/21/010,Multiple destinations,28195
119393,"DEADLINE EXTENDED - International consultancy to compile, analyze, and synthezise statistical and qualitative data on the status of school health and nutrition worldwide",Imperial College of Science Technology and Medicine,26-May-21,UNESCO,RFQ/ED/HAE/21/006,Multiple destinations,43196
129902,Contract for services of management of the projects for the reconstruction of the National Museum and works of pre-consolidation and protection of the integrated properties,Setec Hidrobrasileira Obras e Projetos Ltda,1-May-21,UNESCO,UNES 1636/2020,Brazil,403297.43
119407,Design and development of a global web platform and associated mobile application to promote and serve as entry point to the UN Decade of Ocean Science for Sustainable Development.,3 SIDED CUBE Design Ltd,17-Mar-21,UNESCO,IOC/MPR: OCEAN DECADE WEB PLATFORM & MOBILE APPLICATION,Multiple destinations,176630
117343,UNFPA/USA/RFQ/21/008 - Request for Regional Private Sector Market Assessment,Global CAD,16-Mar-21,UNFPA,UNFPA/USA/RFQ/21/008,Multiple destinations,44400
117060,External Evaluation of the International Task Force on Teachers for Education 2030 for its 2018-2021 Strategic Plan,TECHNOPOLIS FRANCE,5-Mar-21,UNESCO,RFP/ED/TTF/12/2020,Multiple destinations,49900
116908,Global Staff Surveys 2021 and 2024,Agenda Consulting Limited,8-Feb-21,UNFPA,UNFPA/USA/RFQ/20/081,Multiple destinations,
117498,LTA Global Communications Services for UNFPA HQ,Daniel J Edelman Ltd,23-Nov-20,UNFPA,UNFPA/USA/RFP/20/009,Multiple destinations,200000
115310,Provision of Press Clipping Service for UNFPA,Meltwater Group,31-Aug-20,UNFPA,UNFPA-USA-RFQ-20-050,Multiple destinations,49990
114548,"Services of planning, organizing, coordinating, carrying out (budgeting, and billing) and evaluating events - Re-bid",ABIC MARKETING CONSULTORIA PROMOCIONAL LTDA,17-Aug-20,UNESCO,Procurement JOF 1503/2019 (Secondary Number 0039/2019),Brazil,6500000
114548,"Services of planning, organizing, coordinating, carrying out (budgeting, and billing) and evaluating events - Re-bid",AGOGO MARKETING PROMOCIONAL LTDA,17-Aug-20,UNESCO,Procurement JOF 1503/2019 (Secondary Number 0039/2019),Brazil,6500000
114548,"Services of planning, organizing, coordinating, carrying out (budgeting, and billing) and evaluating events - Re-bid",Gauche Promoções e Eventos Ltda,17-Aug-20,UNESCO,Procurement JOF 1503/2019 (Secondary Number 0039/2019),Brazil,6500000
114548,"Services of planning, organizing, coordinating, carrying out (budgeting, and billing) and evaluating events - Re-bid",JB PROPAGANDA E MARKETING EIRELI,17-Aug-20,UNESCO,Procurement JOF 1503/2019 (Secondary Number 0039/2019),Brazil,6500000
114548,"Services of planning, organizing, coordinating, carrying out (budgeting, and billing) and evaluating events - Re-bid",FULLBLESS EVENTOS EIRELI,17-Aug-20,UNESCO,Procurement JOF 1503/2019 (Secondary Number 0039/2019),Brazil,6500000
114548,"Services of planning, organizing, coordinating, carrying out (budgeting, and billing) and evaluating events - Re-bid",Queen Bee Turismo e Eventos Ltda,17-Aug-20,UNESCO,Procurement JOF 1503/2019 (Secondary Number 0039/2019),Brazil,6500000
114154,RFQ Nº UNFPA/USA/RFQ/20/062 – Partner and media relations for UNFPA Supplies transition communications strategy,Mozaic Consulting,17-Jul-20,UNFPA,UNFPA/USA/RFQ/20/062,Multiple destinations,48000
113632,"Provision of Coaching Services to Executive Individual and Team Coaching for UNFPA Senior Leaders, Supervision and Education for Internal Team Coaches and Meeting Facilitation Services",ecoachpro B.V.,26-Jun-20,UNFPA,UNFPA/USA/RFP/19/013,Multiple destinations,
113632,"Provision of Coaching Services to Executive Individual and Team Coaching for UNFPA Senior Leaders, Supervision and Education for Internal Team Coaches and Meeting Facilitation Services",The Forton Group Limited,26-Jun-20,UNFPA,UNFPA/USA/RFP/19/013,Multiple destinations,
113632,"Provision of Coaching Services to Executive Individual and Team Coaching for UNFPA Senior Leaders, Supervision and Education for Internal Team Coaches and Meeting Facilitation Services",SMARTER NOT HARDER sprl,26-Jun-20,UNFPA,UNFPA/USA/RFP/19/013,Multiple destinations,
113632,"Provision of Coaching Services to Executive Individual and Team Coaching for UNFPA Senior Leaders, Supervision and Education for Internal Team Coaches and Meeting Facilitation Services",Mannet Sarl,26-Jun-20,UNFPA,UNFPA/USA/RFP/19/013,Multiple destinations,
113632,"Provision of Coaching Services to Executive Individual and Team Coaching for UNFPA Senior Leaders, Supervision and Education for Internal Team Coaches and Meeting Facilitation Services",KITE Global,26-Jun-20,UNFPA,UNFPA/USA/RFP/19/013,Multiple destinations,
114609,Call for Partnership for Global Media Defence Fund,INTERNATIONAL BAR ASSOCIATION,22-May-20,UNESCO,CI/FOE/GlobalMediaDefenceFund2020/01,Multiple destinations,416372.76
114131,Call for Partnership for Rapid Response Facility (RRF),Fauna & Flora International,4-Mar-20,UNESCO,CLT/WHC/RRF,Multiple destinations,300000
112515,Establishment of a Long Term Agreement for the Provision of Professional Real Estates Services,Colliers International,30-Jan-20,UNFPA,UNFPA/USA/RFQ/19/143,Multiple destinations,
112548,Asychronous Video Screening Tool,VidCruiter Inc.,1-Jan-20,IAEA,RFP 304307-GHL,Multiple destinations,
111575,For the expansion of the processing capacity of the Brazilian Meteorological Service national monitoring network,Danoffice IT SA,28-Nov-19,WMO,ITB 1903-19 (DRA),Brazil,1146572.65
111373,For the provision of Web Developer Services for JCOMM in situ Observations Programme Support Centre (JCOMMOPS),CELAD,15-Nov-19,WMO,RFP 1925-19 (OBS),Multiple destinations,410
113294,"Bid for the technical development, design and launch of the International Task Force on Teachers for Education 2030’s new online Knowledge Platform on Teacher Policies, Practices and Research",Phoenix Design Aid A/S,17-Oct-19,UNESCO,ED/ESC/TED/19/36,Multiple destinations,74476
107220,RFP 600637 LTAs for Renewable Energy Consultancy Services,Ekistika Pty Ltd,21-Feb-19,UNDP,UNDP1-600637,Multiple destinations,
107220,RFP 600637 LTAs for Renewable Energy Consultancy Services,"IDOM, Consulting, Engineering, Architecture, SAU",21-Feb-19,UNDP,UNDP1-600637,Multiple destinations,
107220,RFP 600637 LTAs for Renewable Energy Consultancy Services,Sistemes Avançats d’Energua Tèrmica / Azimut360,21-Feb-19,UNDP,UNDP1-600637,Multiple destinations,
107220,RFP 600637 LTAs for Renewable Energy Consultancy Services,Trama TecnoAmbiental S.L.,21-Feb-19,UNDP,UNDP1-600637,Multiple destinations,
107220,RFP 600637 LTAs for Renewable Energy Consultancy Services,WSP UK Limited,21-Feb-19,UNDP,UNDP1-600637,Multiple destinations,
107198,Supply of Testing Services for TCu380A Intrauterine Contraceptive Devices,TRUSTIN ANALYTICAL SOLUTIONS PRIVATE LIMITED,11-Jan-19,UNFPA,UNFPA/DNK/RFP/18/031,Multiple destinations,
107138,"Sampling and Inspection Services for Male Condoms, Female Condoms, Lubricants and IUDs","A/S Baltic Control Ltd., Aarhus",31-Oct-18,UNFPA,UNFPA/DNK/18/022,Multiple destinations,
107139,"Sampling and Inspection Services for Male Condoms, Female Condoms, Lubricants and IUDs",VIGLIENZONE ADRIATICA S.R.L.,31-Oct-18,UNFPA,UNFPA/DNK/18/022,Multiple destinations,
107140,"Sampling and Inspection Services for Male Condoms, Female Condoms, Lubricants and IUDs",Intertek Italia SpA,31-Oct-18,UNFPA,UNFPA/DNK/18/022,Multiple destinations,
107174,"Sampling and Inspection Services for Male Condoms, Female Condoms, Lubricants and IUDs",Intertek Italia SpA,31-Oct-18,UNFPA,UNFPA/DNK/18/022,Multiple destinations,
106088,"Fundraising Research Assignment on Hong Kong, Japan and Australia",Daryl Upsall & Associates SL,10-Oct-18,UNFPA,UNFPA/USA/RFQ/18/083,Multiple destinations,77320
105583,TESTING SERVICES FOR TCu380A INTRAUTERINE CONTRACEPTIVE DEVICES - CANCELLED,UNFPA Procurement Services Branch,21-Sep-18,UNFPA,UNFPA/DNK/RFP/18/026 CANCELLATION,Multiple destinations,
105224,FRAME AGREEMENT FOR THE PROVISION OF UNHCR PUBLIC SECTOR PARTNERSHIP (PSP) – GLOBAL DRN SALESFORCE PARTNERSHIP,Capgemini Italia S.p.A.,26-Jul-18,UNHCR,RFP/2017/1041,Multiple destinations,
104732,Third party monitoring services,SREO Danismanlik Limited Sirketi,11-May-18,UNFPA,RFP-UNFPA-TUR-18-001,Multiple destinations,140500
104847,FRAME AGREEMENT FOR THE PROVISION OF UNHCR PUBLIC SECTOR PARTNERSHIP (PSP) – GLOBAL DRN SALESFORCE PARTNERSHIP,Laputa Technologies Limited,3-May-18,UNHCR,RFP/2017/1041,Multiple destinations,
